Date,Prev Close,Open Price,High Price,Low Price,Last Price,Close Price,Total Traded Quantity,Turnover,Average Price,No. of Trades,Deliverable Qty,% Dly Qt to Traded Qty
03-Oct-2017,1078.45,1095.45,1109.65,1078.8,1102,1100.95,903689,988473992.4,1093.82,26918,195882,21.68
04-Oct-2017,1100.95,1107.5,1128.7,1087.85,1098,1099.35,1449647,1602375414.75,1105.36,36662,303899,20.96
05-Oct-2017,1099.35,1105,1118,1092.35,1108,1104,1044277,1154416222.9,1105.47,29566,301228,28.85
06-Oct-2017,1104,1110,1120,1100,1106,1105.25,635948,706387346.65,1110.76,31851,314136,49.4
09-Oct-2017,1105.25,1108.5,1126.8,1105.05,1116.4,1116.75,773906,864210175.3,1116.69,30035,318349,41.14
10-Oct-2017,1116.75,1124.4,1202.9,1120.1,1193,1184.65,3365543,3937467052.6,1169.94,79790,780270,23.18
11-Oct-2017,1184.65,1201,1244,1190,1222.9,1213.1,2717138,3320129923.65,1221.92,79162,452192,16.64
12-Oct-2017,1213.1,1234,1279.8,1223,1279.8,1268.65,2057518,2567969295.7,1248.09,50182,368373,17.9
13-Oct-2017,1268.65,1285,1288.65,1220,1234.65,1229.9,2507878,3133083920.8,1249.3,89810,1001898,39.95
16-Oct-2017,1229.9,1250,1275,1225.05,1237,1232.45,2410127,3006774513.4,1247.56,65799,672781,27.91
17-Oct-2017,1232.45,1234,1241.55,1210,1221.8,1220,793647,972475428.8,1225.32,24072,235848,29.72
18-Oct-2017,1220,1217.4,1225.45,1132.15,1161,1159.7,2368299,2777392021.1,1172.74,68146,627523,26.5
19-Oct-2017,1159.7,1165,1177.7,1162,1165.1,1167.4,340842,398521224.6,1169.23,12613,112701,33.07
23-Oct-2017,1167.4,1170,1175,1117.1,1127,1126.4,1135187,1282388104.25,1129.67,55038,412979,36.38
24-Oct-2017,1126.4,1127,1148.5,1085.5,1091.3,1092.9,1475872,1640070051.35,1111.25,59449,513375,34.78
25-Oct-2017,1092.9,1100,1160,1070.7,1155,1143.7,1641798,1829355327.9,1114.24,59498,515582,31.4
26-Oct-2017,1143.7,1160.5,1170,1132.55,1142.05,1143.1,868267,999824705.1,1151.52,26862,197046,22.69
27-Oct-2017,1143.1,1148.5,1153.4,1132.55,1138,1136.2,432640,493177956.75,1139.93,14877,118776,27.45
30-Oct-2017,1136.2,1144,1164.8,1144,1147.9,1147.9,502967,579847848.65,1152.85,16072,179290,35.65
31-Oct-2017,1147.9,1155,1155,1135,1139.95,1140.6,280071,320415582.5,1144.05,10796,78026,27.86
01-Nov-2017,1140.6,1146,1168,1135.05,1149.5,1151.8,625587,718178392.2,1148.01,20670,297449,47.55
02-Nov-2017,1151.8,1149,1159.8,1140.55,1148.75,1149.45,320292,368360109.35,1150.08,12140,103970,32.46
03-Nov-2017,1149.45,1151.9,1152.9,1122.4,1126.1,1129.15,281650,320499709.5,1137.94,11475,135328,48.05
06-Nov-2017,1129.15,1129,1140.4,1119,1127.5,1125.5,322646,363986420.4,1128.13,17650,132927,41.2
07-Nov-2017,1125.5,1129.95,1132.05,1095,1100,1100.2,507726,562705317.2,1108.29,19687,233435,45.98
08-Nov-2017,1100.2,1108.8,1133,1078,1105,1098.05,568189,631667600,1111.72,28534,218462,38.45
09-Nov-2017,1098.05,1106.95,1132,1106.1,1120,1122.2,429197,480409372.25,1119.32,23491,168534,39.27
10-Nov-2017,1122.2,1122,1170,1115,1166.8,1159.65,895299,1027260635.3,1147.39,30805,343334,38.35
13-Nov-2017,1159.65,1166,1179.95,1156.15,1160.3,1160.95,593853,694491197.8,1169.47,20933,225509,37.97
14-Nov-2017,1160.95,1162.9,1164,1118,1122.15,1122.15,546437,619027879.25,1132.84,29404,275870,50.49
15-Nov-2017,1122.15,1122.8,1122.8,1093.05,1098,1098.4,452771,499887993.4,1104.06,20514,203563,44.96
16-Nov-2017,1098.4,1103.2,1123,1103.2,1114,1112.6,320691,357214646.3,1113.89,17049,132578,41.34
17-Nov-2017,1112.6,1120.2,1131.8,1098.05,1108,1106.05,627174,695463961.45,1108.89,26075,320768,51.14
20-Nov-2017,1106.05,1110,1118.9,1103.35,1105.95,1106.15,189756,210452812.95,1109.07,10076,73862,38.92
21-Nov-2017,1106.15,1110.1,1124.8,1105.35,1109,1112.3,396018,441414321.85,1114.63,18917,177614,44.85
22-Nov-2017,1112.3,1115.1,1143.9,1115.1,1138.5,1137.8,630300,713769095.3,1132.43,23028,237641,37.7
23-Nov-2017,1137.8,1143.4,1156,1131,1146.3,1146.3,578321,662944195.5,1146.33,20798,201172,34.79
24-Nov-2017,1146.3,1152,1163,1145.1,1147,1149.9,500452,577737904.65,1154.43,14824,173737,34.72
27-Nov-2017,1149.9,1140.1,1149,1122.4,1129,1129.85,217757,247093438.55,1134.72,7940,84551,38.83
28-Nov-2017,1129.85,1133.8,1141.1,1115,1140,1128.25,248227,280477122.3,1129.92,11846,111907,45.08
29-Nov-2017,1128.25,1138,1147,1122.85,1124,1125.55,235348,266305338.95,1131.54,10956,94185,40.02
30-Nov-2017,1125.55,1124,1157.7,1110.85,1113,1118.1,482312,545388283.8,1130.78,16870,128850,26.72
01-Dec-2017,1118.1,1123.8,1139,1110,1116.05,1114.4,311788,351470871,1127.28,12308,116421,37.34
04-Dec-2017,1114.4,1119.8,1161,1093,1155,1150.7,865823,978685768.85,1130.35,25711,326953,37.76
05-Dec-2017,1150.7,1155.6,1160,1126.6,1131.2,1133.35,466932,532701401.5,1140.85,15233,146084,31.29
06-Dec-2017,1133.35,1129.7,1139,1111,1120,1123.95,325570,366147782.75,1124.64,10916,115758,35.56
07-Dec-2017,1123.95,1125,1178,1124.5,1146,1142.4,3369105,3841243611.75,1140.14,34203,2359457,70.03
08-Dec-2017,1142.4,1145.1,1162,1128,1130,1132.55,668356,763112903.8,1141.78,17717,302358,45.24
11-Dec-2017,1132.55,1138,1143.9,1121,1127,1127.4,353164,399294305.65,1130.62,14066,128802,36.47
12-Dec-2017,1127.4,1130.4,1130.8,1113.6,1114.85,1115.75,364243,408720329.65,1122.11,13050,199792,54.85
13-Dec-2017,1115.75,1115,1131.7,1103,1110,1108,385231,430429594.85,1117.33,17627,168580,43.76
14-Dec-2017,1108,1115,1118,1096.25,1104.5,1104.2,467433,515964708.8,1103.83,17832,212324,45.42
15-Dec-2017,1104.2,1114.95,1129.9,1102.35,1121.5,1121.8,484592,541034149,1116.47,15504,208116,42.95
18-Dec-2017,1121.8,1109,1139,1083,1137,1135.25,506810,570193401.2,1125.06,18699,171445,33.83
19-Dec-2017,1135.25,1137.05,1150,1125,1143.5,1146,376958,429483910.45,1139.34,11154,158066,41.93
20-Dec-2017,1146,1146,1158.6,1136.05,1143,1143,306343,351546789.05,1147.56,10971,109512,35.75
21-Dec-2017,1143,1140,1160,1140,1154,1155.6,430141,494937369.45,1150.64,18681,216561,50.35
22-Dec-2017,1155.6,1157.8,1171.5,1146.6,1150,1151.1,401234,464090689.45,1156.66,13722,146125,36.42
26-Dec-2017,1151.1,1150,1157,1144.25,1150,1150.15,231395,265936879.05,1149.28,16180,100824,43.57
27-Dec-2017,1150.15,1151,1169,1140.2,1143,1146.35,298298,344777493.35,1155.82,9797,92725,31.08
28-Dec-2017,1146.35,1147.35,1158,1142,1150.05,1148.35,208198,239359553.85,1149.67,10598,70508,33.87
29-Dec-2017,1148.35,1148,1194.45,1148,1178.5,1181.35,1033292,1216380184.95,1177.19,25883,409635,39.64
01-Jan-2018,1181.35,1188.3,1193.25,1166,1172.5,1170.5,334392,395155954.8,1181.71,9339,131250,39.25
02-Jan-2018,1170.5,1173.7,1178.2,1155.6,1160.7,1160,302709,352563146.95,1164.69,9423,98217,32.45
03-Jan-2018,1160,1162.7,1204.4,1160,1184,1184.55,580610,687971942.1,1184.91,18731,146459,25.23
04-Jan-2018,1184.55,1187.85,1215,1186,1199.5,1203.1,707905,852712982.5,1204.56,20998,192081,27.13
05-Jan-2018,1203.1,1210.1,1268,1208.55,1243,1243.4,1244328,1546206293.8,1242.6,39621,375646,30.19
08-Jan-2018,1243.4,1250,1259.95,1222,1225,1226.8,520902,645155417.95,1238.54,27178,213747,41.03
09-Jan-2018,1226.8,1232.95,1246,1212.7,1231,1234.1,479684,590917194.9,1231.89,17732,145917,30.42
10-Jan-2018,1234.1,1245.05,1283.9,1230,1249,1249.3,849877,1068308523,1257.02,26078,180367,21.22
11-Jan-2018,1249.3,1254,1274.5,1238,1247,1245.5,489609,614897782.5,1255.9,15552,156092,31.88
12-Jan-2018,1245.5,1250.1,1260,1226.55,1237,1234.6,439434,547110261.05,1245.03,10354,209481,47.67
15-Jan-2018,1234.6,1236.9,1245,1224,1225.1,1228.85,283764,350677868.8,1235.81,12037,107137,37.76
16-Jan-2018,1228.85,1232.8,1237.95,1152,1186.5,1187,409503,492526208.3,1202.74,19670,188023,45.91
17-Jan-2018,1187,1183,1189,1159,1164,1167.35,518237,605496175.4,1168.38,19654,247702,47.8
18-Jan-2018,1167.35,1175,1180,1126.6,1135,1135.45,471953,543953093.85,1152.56,21255,233602,49.5
19-Jan-2018,1135.45,1138.8,1154,1126,1144.4,1144.35,240807,275315531.3,1143.3,8467,92963,38.6
22-Jan-2018,1144.35,1149,1186.7,1147.05,1179,1176.3,487998,572029173.35,1172.2,15692,154537,31.67
23-Jan-2018,1176.3,1182,1190,1161.6,1166.25,1169.2,301434,354657700.7,1176.57,10067,114874,38.11
24-Jan-2018,1169.2,1170,1174.8,1130.4,1147,1142.15,396369,457250643.95,1153.6,16909,179827,45.37
25-Jan-2018,1142.15,1150,1174.35,1140.2,1166,1159.3,553178,643015758.65,1162.4,20297,222938,40.3
29-Jan-2018,1159.3,1200,1263.8,1175,1179,1181.9,3086852,3761552197.1,1218.57,89849,856595,27.75
30-Jan-2018,1181.9,1180.7,1212.6,1150,1183.35,1184.6,992399,1172144105.2,1181.12,28966,193866,19.54
31-Jan-2018,1184.6,1180,1210,1172.05,1179.5,1179.65,750588,894679463.1,1191.97,32636,237782,31.68
01-Feb-2018,1179.65,1185,1205.9,1167,1176.5,1174.3,477292,565632111.3,1185.09,16082,124065,25.99
02-Feb-2018,1174.3,1162.8,1165,1108,1134,1135.1,595510,680275233.7,1142.34,29880,233185,39.16
05-Feb-2018,1135.1,1122.05,1134.5,1081.35,1119,1117.3,544060,605180239.15,1112.34,22693,155103,28.51
06-Feb-2018,1117.3,1075,1119,1060.1,1105.15,1105.7,706200,772417396.9,1093.77,27365,214134,30.32
07-Feb-2018,1105.7,1127.8,1134.7,1120,1120.4,1122.65,267181,300520209.3,1124.78,11514,95255,35.65
08-Feb-2018,1122.65,1129,1174,1125.05,1174,1165.55,493415,570625725.6,1156.48,16268,214809,43.54
09-Feb-2018,1165.55,1149.95,1195,1130,1180,1177.8,469818,550596391.75,1171.94,14680,111502,23.73
12-Feb-2018,1177.8,1189,1199.5,1180.05,1185.4,1187.2,241765,287591987.6,1189.55,11455,79564,32.91
14-Feb-2018,1187.2,1196.6,1208.25,1182.1,1193,1201.4,426463,509841572.75,1195.51,15714,143271,33.6
15-Feb-2018,1201.4,1206.95,1207,1180.45,1184.05,1183.95,269802,321575130.65,1191.89,15005,104184,38.61
16-Feb-2018,1183.95,1188.8,1191.3,1170.1,1174,1173.5,199767,235061702.8,1176.68,7688,51023,25.54
19-Feb-2018,1173.5,1179,1179,1162,1170,1168.9,224464,262111109,1167.72,8895,70669,31.48
20-Feb-2018,1168.9,1174.8,1189.7,1165.2,1185,1186.8,293782,346639512.9,1179.92,10535,93204,31.73
21-Feb-2018,1186.8,1191.8,1251,1182.3,1248,1237.8,1209483,1474591075.2,1219.19,40830,391316,32.35
22-Feb-2018,1237.8,1244.7,1257,1225.2,1240,1240.65,559675,694299154.7,1240.54,22371,176388,31.52
23-Feb-2018,1240.65,1250,1306,1250,1301.4,1300.25,1724635,2219322176.6,1286.84,59530,481782,27.94
26-Feb-2018,1300.25,1312,1327.35,1286.1,1291.2,1291.2,856069,1119957329.05,1308.26,38637,313931,36.67
27-Feb-2018,1291.2,1291.2,1369,1286,1367,1354.7,1794604,2398225979.8,1336.35,47439,401006,22.35
28-Feb-2018,1354.7,1354,1387,1330.5,1352,1348.15,1695261,2311441925.5,1363.47,64466,405144,23.9
01-Mar-2018,1348.15,1353.1,1365.5,1305.05,1312,1314.25,801383,1066048305.55,1330.26,38217,256989,32.07
05-Mar-2018,1314.25,1309.5,1338,1290.1,1312.1,1314.3,698817,916279189.65,1311.19,24840,196519,28.12
06-Mar-2018,1314.3,1320,1365.1,1312.2,1326,1327.15,1162430,1563366976.7,1344.91,40759,226353,19.47
07-Mar-2018,1327.15,1325,1332.85,1287.25,1302.5,1298.8,620343,814534160.35,1313.04,22933,183280,29.54
08-Mar-2018,1298.8,1313.15,1325,1270.6,1294.9,1293.15,609548,789498273,1295.22,30834,182086,29.87
09-Mar-2018,1293.15,1300,1328.4,1281,1300,1306.55,805817,1055081971.2,1309.33,25285,212964,26.43
12-Mar-2018,1306.55,1316.1,1336.7,1308.1,1314,1315.65,524560,693455202.05,1321.97,20718,143891,27.43
